Action,without app,with app,App-specific
jmeter_login_and_view_dashboard,353,431,False
jmeter_view_issue,303,289,False
jmeter_search_jql,686,657,False
jmeter_view_dashboard,113,108,False
jmeter_view_scrum_board,287,217,False
jmeter_view_backlog,411,448,False
jmeter_create_issue:open_quick_create,137,117,False
jmeter_create_issue:fill_and_submit_issue_form,323,288,False
jmeter_view_kanban_board,218,207,False
jmeter_browse_projects,87,71,False
jmeter_edit_issue:open_editor,174,125,False
jmeter_edit_issue:save_edit,338,329,False
jmeter_view_project_summary,118,119,False
jmeter_add_comment:open_comment,66,84,False
jmeter_add_comment:save_comment,239,347,False
jmeter_browse_boards,126,94,False
selenium_login:open_login_page,125,125,False
selenium_login:login_and_view_dashboard,1141,1080,False
selenium_login,1266,1197,False
selenium_browse_projects_list,253,275,False
selenium_browse_boards_list,256,269,False
selenium_create_issue:open_quick_create,719,727,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,607,608,False
selenium_create_issue:fill_and_submit_issue_form,1153,1146,False
selenium_create_issue,1850,1854,False
selenium_edit_issue:open_edit_issue_form,575,601,False
selenium_edit_issue:save_edit_issue_form,670,652,False
selenium_edit_issue,1574,1563,False
selenium_save_comment:open_comment_form,370,369,False
selenium_save_comment:submit_form,774,767,False
selenium_save_comment,1265,1245,False
selenium_search_jql,1218,1236,False
selenium_view_scrum_board_backlog,1259,1261,False
selenium_view_scrum_board,831,868,False
selenium_view_kanban_board,884,897,False
selenium_view_dashboard,580,638,False
selenium_view_issue,614,632,False
selenium_project_summary,434,451,False
selenium_log_out,351,361,False
