Action,Node 1,Node 2,Node 4,App-specific
jmeter_login_and_view_dashboard,373,460,481,False
jmeter_view_issue,292,224,199,False
jmeter_search_jql,721,547,550,False
jmeter_view_dashboard,112,88,87,False
jmeter_view_scrum_board,276,150,160,False
jmeter_view_backlog,433,361,362,False
jmeter_create_issue:open_quick_create,119,93,106,False
jmeter_create_issue:fill_and_submit_issue_form,225,229,221,False
jmeter_view_kanban_board,204,191,190,False
jmeter_browse_projects,77,53,49,False
jmeter_edit_issue:open_editor,139,95,92,False
jmeter_edit_issue:save_edit,348,282,278,False
jmeter_view_project_summary,191,112,119,False
jmeter_add_comment:open_comment,113,58,64,False
jmeter_add_comment:save_comment,426,248,275,False
jmeter_browse_boards,80,80,69,False
selenium_login:open_login_page,126,123,122,False
selenium_login:login_and_view_dashboard,540,540,528,False
selenium_login,667,652,651,False
selenium_browse_projects_list,267,288,265,False
selenium_browse_boards_list,260,255,254,False
selenium_create_issue:open_quick_create,725,727,727,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,607,609,608,False
selenium_create_issue:fill_and_submit_issue_form,1140,1151,1151,False
selenium_create_issue,1852,1870,1851,False
selenium_edit_issue:open_edit_issue_form,609,579,597,False
selenium_edit_issue:save_edit_issue_form,646,666,641,False
selenium_edit_issue,1540,1558,1534,False
selenium_save_comment:open_comment_form,365,364,368,False
selenium_save_comment:submit_form,738,730,737,False
selenium_save_comment,1221,1215,1222,False
selenium_search_jql,1128,1217,1215,False
selenium_view_scrum_board_backlog,1258,1261,1262,False
selenium_view_scrum_board,880,829,836,False
selenium_view_kanban_board,864,849,1141,False
selenium_view_dashboard,584,600,607,False
selenium_view_issue,617,616,625,False
selenium_project_summary,458,454,458,False
scrum_poker_sessions,207,188,185,True
selenium_log_out,318,322,332,False
